"Channel","Total","Percentage"
"Spotify followers","457318","21.64"
"YouTube subscribers","439000","20.77"
"Soundcloud followers","317395","15.02"
"Facebook followers","284842","13.48"
"Instagram followers","283478","13.41"
"Deezer fans","180933","8.56"
"[object Object] followers","100047","4.73"
"TikTok followers","50600","2.39"
"Total Fanbase Size","2113613",""
