"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"I Would Like - Gorgon City Remix","Zara Larsson, Gorgon City","14801810","422519","19490","4814","2016-12-09"
"Go Deep","Gorgon City, Kamille, Ghosted","16874179","351157","19734","4761","2018-05-11"
"Elevate","Gorgon City, Anne-Marie","8203297","349948","16908","4393","2014-01-01"
"City Of Angels","Gorgon City, Jelani Blackman","263326","240470","16585","4213","2023-07-21"
"Oxygen - Franky Wah Remix","Gorgon City, Aura James, Franky Wah","1940336","285603","16226","4014","2021-10-01"
"Night Drive","Gorgon City","3485200","252997","19209","3986","2018-08-10"
"Dreams - Totally Enormous Extinct Dinosaurs Remix","Gorgon City, Jem Cooke, Totally Enormous Extinct Dinosaurs","1985936","281293","15265","3958","2021-08-20"
"Lover Like You","Gorgon City, Katy B","6514984","306595","15517","3911","2014-01-01"
"Foggy Geezer","Gorgon City","2090710","414862","15435","3855","2022-06-24"
"Say You Love Me - Gorgon City Remix","Jessie Ware, Gorgon City","3399026","217653","19494","3835","2014-09-28"
"Lost Feelings","Gorgon City","1052586","231839","16039","3795","2021-06-25"
"Cosmic Kiss (Gorgon City Remix)","Pax, Gorgon City","1791845","246224","15400","3754","2021-08-06"
"Tears","Gorgon City, Grace Grundy","1196686","239584","15634","3700","2021-06-25"
"Remember The Days","Gorgon City, Selah Sol","244289","223438","14042","3660","2023-07-21"
"FTPA","Gorgon City, Erik Hassle","6066282","218442","13926","3582","2014-01-01"
"FTPA (feat. Gorgon City)","Erik Hassle, Gorgon City","6066282","218442","17629","3582","2017-01-27"
"Go Deep - Zeds Dead Remix","Gorgon City, Kamille, Ghosted, Zeds Dead","1274479","165314","14311","3319","2018-06-22"
"Remember (Sonny Fodera Sunset Remix) [feat. Gorgon City]","Sonny Fodera, Danny Howard, Stevie Appleton, Gorgon City","1199565","595129","14136","3267","2022-11-04"
"Delicious","Gorgon City","4767491","212094","13319","3247","2019-03-22"
"Voodoo - Francis Mercier Remix","Gorgon City, Francis Mercier","340407","274274","11833","3182","2023-04-28"
"Free Myself","Yousef, Gorgon City, EVABEE","1201164","229112","15444","3179","2020-05-29"
"One Last Song - Acoustic","Gorgon City, JP Cooper","4941538","196355","12232","3172","2018-08-24"
"Coming Home","Gorgon City, Maverick Sabre","5908299","196953","11534","3089","2014-01-01"
"Take It All","Gorgon City, The Six","5178482","205524","12157","3032","2014-01-01"
"Hard On Me","Gorgon City, Maverick Sabre","7582942","185575","11864","2999","2014-01-01"
"When You’re Gone","Gorgon City","1724742","182732","11441","2991","2021-06-25"
"Real Life - Acoustic","Duke Dumont, Gorgon City, Naations","4278461","182197","13118","2875","2017-07-28"
"Zoom Zoom","Gorgon City, Wyclef Jean","6584374","201051","10141","2836","2016-07-22"
"Should’ve Known","Gorgon City","271772","251387","11761","2786","2023-07-21"
"Lie Machine - Gorgon City Remix","DAVI, Gorgon City","1093230","112100","13198","2618","2019-12-06"
"Sweet Temptation","Gorgon City","944134","144902","9979","2579","2021-06-25"
"You've Done Enough - Tom & Collins Remix","Gorgon City, DRAMA, Tom & Collins","1093567","204877","13439","2490","2021-04-02"
"6AM","Gorgon City, Tish Hyman","4393267","147477","9018","2395","2014-01-01"
"Waiting For The Right Time","Gorgon City","862538","152699","9354","2351","2021-06-25"
"Hear That","Gorgon City, D Double E","4025562","146642","9244","2322","2018-07-19"
"Blame - Gorgon City Remix","Zeds Dead, Diplo, Gorgon City, Elliphant","3193861","187005","9205","2205","2017-01-27"
"You've Done Enough - Terrace Dub","Gorgon City, DRAMA","1224337","143850","8383","2065","2021-01-29"
"Deeper - Gorgon City Remix","Todd Edwards, Sinden, Gorgon City","1235172","103875","10096","2031","2019-07-19"
"Motorola","Gorgon City","3757629","122722","7148","1922","2018-03-02"
"Love Me","Gorgon City, Lulu James","2511141","148048","8641","1908","2018-08-10"
"Doing It Wrong","Gorgon City","2927470","158171","7807","1900","2014-01-01"
"Ahora Todo Va - Gorgon City Remix","Dennis Cruz, Josh Butler, Gorgon City","1086087","139444","7852","1878","2021-04-23"
