"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Imagination (Mak & Pasteman Remix)","Gorgon City","109774","566","31","10","2015-03-17"
"Sirens Remixes //  Minimix Sampler","Gorgon City","102186","632","40","10","2015-04-27"
"Gorgon City @ EDC Vegas 2018","Gorgon City","101986","2320","140","30","2018-07-04"
"Radio 1 Live Lounge 'Hard On Me' ft. Maverick Sabre","Gorgon City","98720","1007","69","19","2015-02-02"
"Motorola Mix","Gorgon City","94588","2285","157","25","2018-03-01"
"Never Enough (Terrace Dub) [feat. Chenai]","Gorgon City","90391","13445","949","227","2018-10-16"
"Let It Go (Sonny Fodera Remix)","Gorgon City","88694","5778","398","114","2018-09-28"
"Gorgon City @ Space Miami (3hr set)","Gorgon City","87704","8951","791","227","2019-11-09"
"Gorgon City - Live @Amnesia Presents Opening Party (20.06.2022)","Gorgon City","87614","29391","1045","271","2022-07-04"
"You've Done Enough (John Summit Extended Mix)","Gorgon City","84488","30820","2871","681","2021-02-12"
"Gorgon City - Rinse FM - 5th December 2016","Gorgon City","82129","978","66","22","2016-12-06"
"Beats1 - N.America Tour Mix","Gorgon City","78057","298","24","7","2015-10-13"
"There For You (Warehouse Mix)","Gorgon City","76173","9497","804","165","2019-09-14"
"10 Below","Gorgon City","75846","391","20","5","2013-02-05"
"Michael Woods feat. Ester Dean - We've Only Just Begun (Gorgon City Remix)","Gorgon City","74461","415","30","6","2012-09-04"
"Gorgon City Rinse FM Radio Show- 3rd February 2015","Gorgon City","73252","193","14","5","2015-02-04"
"Dreams (Totally Enormous Extinct Dinosaurs Remix)","Gorgon City","71651","11565","874","195","2021-08-20"
"Unmissable (Everything Everything Remix)","Gorgon City","69833","0","0","0","2014-08-18"
"Go All Night (Aquilo Remix)","Gorgon City","68460","311","16","1","2014-12-11"
"Motorola","Gorgon City","66348","2717","176","43","2018-02-16"
"Go All Night (Illyus & Barrientos Remix)","Gorgon City","63609","299","24","7","2014-12-11"
"Gorgon City - Rinse FM Radio Show - 6th June 2016","Gorgon City","62921","397","34","8","2016-06-08"
"Never Let Me Down (t e s t p r e s s Extended Mix)","Gorgon City","62756","11634","891","209","2021-07-09"
"Rumblah (Extended Mix)","Gorgon City","62515","49510","2219","526","2023-01-27"
"Odyssey","Gorgon City","61090","391","23","2","2012-04-05"
