"Country","Monthly Listeners"
"United Kingdom","504480"
"Australia","279297"
"United States","269896"
"Germany","85338"
"Netherlands","77003"
"Canada","72891"
"Ireland","62142"
"Mexico","32750"
"Brazil","30166"
"Poland","29233"
"Chile","29011"
"Belgium","28073"
"Hungary","27596"
"New Zealand","23512"
"France","19177"
"Spain","18906"
"Norway","18412"
"Czech Republic","17868"
"Turkey","17230"
"Switzerland","16696"
"Italy","16225"
