"Track","Artists","Release date","Viberate Performance Points 1w","Viberate Performance Points 1m","Viberate Performance Points 3m","Viberate Performance Points 12m","Viberate Performance Points Total","Spotify Streams 1w","Spotify Streams 1m","Spotify Streams 3m","Spotify Streams 12m","Spotify Streams Total","YouTube Views 1w","YouTube Views 1m","YouTube Views 3m","YouTube Views 12m","YouTube Views Total","Airplay Spins 1w","Airplay Spins 1m","Airplay Spins 3m","Airplay Spins 12m","Shazam Shazams 1w","Shazam Shazams 1m","Shazam Shazams 3m","Shazam Shazams 12m","Shazam Shazams Total","Soundcloud Plays 1w","Soundcloud Plays 1m","Soundcloud Plays 3m","Soundcloud Plays 12m","Soundcloud Plays Total"
"Jack Mountain - Quivver Edit","Mattia Saviolo, Quivver","2018-10-05","31","62","102.5","169.7","169.7","31","62","107","203","6735","0","0","0","0","179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Identity","Mattia Saviolo","2019-08-26","0","19","52.300000000000004","108.30000000000001","108.30000000000001","0","19","56","56","3199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","10","69","N/A","N/A","N/A","N/A","N/A"
"Last Day On Earth","Mattia Saviolo","2019-01-18","8","30","30","71.3","71.3","0","22","22","33","2710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","1","1","7","69","N/A","N/A","N/A","N/A","N/A"
"Green Sunset","Mattia Saviolo","2018-04-02","0","43","43","68.89999999999999","68.89999999999999","0","43","43","80","3645","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumed","Mattia Saviolo","2022-09-23","0","20","46.1","60.8","60.8","0","20","49","62","1166","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","1","3","N/A","N/A","N/A","N/A","N/A"
"Artorias","Mattia Saviolo","2019-01-18","0","0","7.2","47.8","47.8","0","0","0","26","5918","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","1","5","245","N/A","N/A","N/A","N/A","N/A"
"Spacecraft","Mattia Saviolo","2019-08-26","0","0","0","39.199999999999996","39.199999999999996","0","0","0","0","3041","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","7","290","N/A","N/A","N/A","N/A","N/A"
"Residual Image","Mattia Saviolo","2018-04-02","0","0","20.7","20.7","20.7","0","0","23","23","4890","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Days Like These - Original Mix","Mattia Saviolo","2019-05-04","8","8","8","19.2","19.2","0","0","0","0","2609","0","0","0","0","215","N/A","N/A","N/A","N/A","1","1","1","3","61","N/A","N/A","N/A","N/A","N/A"
"Cubicolor - Original Mix","Mattia Saviolo","2019-05-04","0","0","0","11.2","11.2","0","0","0","0","2690","0","0","0","0","180","N/A","N/A","N/A","N/A","0","0","0","2","29","N/A","N/A","N/A","N/A","N/A"
"Flat Rhythm - Original Mix","Mattia Saviolo","2019-05-04","0","0","0","9.799999999999999","9.799999999999999","0","0","0","14","1697","0","0","0","0","82","N/A","N/A","N/A","N/A","0","0","0","0","17","N/A","N/A","N/A","N/A","N/A"
"Duel","Mattia Saviolo","2019-01-18","0","0","0","5.6","5.6","0","0","0","0","2487","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","1","70","N/A","N/A","N/A","N/A","N/A"
"Lucid Dream - Original Mix","Mattia Saviolo","2019-05-04","0","0","0","0","0","0","0","0","0","2009","0","0","0","0","69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Interlude - Original Mix","Mattia Saviolo","2019-05-04","0","0","0","0","0","0","0","0","0","1441","0","0","0","0","73","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
