"Channel","Total","Percentage"
"Instagram followers","12084","47.2"
"Facebook followers","6356","24.83"
"Soundcloud followers","4580","17.89"
"Spotify followers","1634","6.38"
"YouTube subscribers","491","1.92"
"[object Object] followers","243","0.95"
"Deezer fans","213","0.83"
"Total Fanbase Size","25601",""
