"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Sehnsucht - Luca Lento Remix","DEVID DEGA, Ingrid, Luca Lento","1352","109","0","0","2018-06-25"
"Sehnsucht - Bizen Lopez Remix","DEVID DEGA, Ingrid, Bizen Lopez","2765","173","7","0","2018-06-25"
"Sehnsucht - Peppou Remix","DEVID DEGA, Ingrid, Peppou","2030","118","0","0","2018-06-25"
"Rain Of Memories - Wuillermo Tuff Remix","DEVID DEGA, Wuillermo Tuff","2391","95","2","0","2018-06-29"
"Voyager","DEVID DEGA","1122","22","1","0","2018-11-05"
"I'm Not Regular","DEVID DEGA","1103","98","12","0","2019-11-04"
"Imperial","DEVID DEGA","1303","159","4","0","2019-11-04"
"Supreme","DEVID DEGA, Fulvio Ferretta","1026","22","2","0","2020-01-20"
"Dancing Machine","DEVID DEGA, Fulvio Ferretta","1101","51","3","0","2020-09-14"
"Molecular Injection","DEVID DEGA","2493","250","9","0","2021-02-22"
"Fusion - Radio Edit","The Southern, DEVID DEGA","1181","66","1","0","2021-07-30"
