"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Devid Dega @ Ballroom X Throne Room Showcase ADE2019 Amsterdam(17 - 10 - 2019) FREEDOWNLOAD","DEVID DEGA","948","17","3","0","2019-11-13"
"Devid Dega, Shay De Castro - I'm Obsessed (preview) [Bitten]","DEVID DEGA","910","29","2","0","2019-10-29"
"Devid Dega Kelderdeuntjes 21_May_2022_Anversa_Belgio (free_download)","DEVID DEGA","904","97","5","0","2022-05-30"
"Devid Dega, Dexon - Materia (preview) [InDeep'n'nDance]","DEVID DEGA","887","12","0","0","2017-10-17"
"Devid Dega  @TECHNOSTATE PLAY FESTIVAL (NL) 25-5-2019 (FreeDownload)","DEVID DEGA","885","9","0","0","2019-05-28"
"Agent Orange - Dark Star (Devid Dega Rmx) (preview) [Funk'n Deep Black]","DEVID DEGA","873","2","0","0","2018-04-29"
"DEVID DEGA - CALYPTRA (preview) [Alchemy]","DEVID DEGA","845","15","0","0","2017-02-23"
"Devid Dega - Orange Trash (preview) [Silver M]","DEVID DEGA","810","4","1","0","2018-08-27"
"Devid Dega - Techno Tuesday at MELKWEG - Amsterdam  21 - 5-2019  (FreeDownload)","DEVID DEGA","793","11","0","0","2019-05-29"
"Devid Dega - Loud Spaces (preview) [Riot Recordings]","DEVID DEGA","791","6","0","0","2018-06-19"
"Devid Dega @ Molocinque - Il_Muretto_Altavoz(Venezia) (1 - 11 - 2018) (Freedownload)","DEVID DEGA","791","5","0","0","2018-11-05"
"Devid Dega - LOCO_Club Padova 10-06-2023","DEVID DEGA","782","737","21","4","2023-06-25"
"Throne Room X NUDE Present Devid Dega","DEVID DEGA","780","34","2","1","2021-04-05"
"DEVID DEGA, THE SOUTHERN - WHAT I MEAN  (preview)  [OUT SOON on FUNK'N DEEP RECORDS]","DEVID DEGA","772","2","0","0","2015-11-26"
"Devid Dega, Sincronism - It Wasn't My Dance (preview) (Dandi & Ugo Remix) [Funk'n Deep]","DEVID DEGA","770","5","0","0","2019-01-16"
"Devid Dega, Bill Tox - Black & White (preview) [Funk'n Deep]","DEVID DEGA","766","6","1","1","2018-07-26"
"DEVID DEGA - PARALLELISM (preview)  [ALCHEMY]","DEVID DEGA","749","1","0","0","2016-11-03"
"DEVID DEGA, JUAN PABLOO - NEBULA  (preview)  [Orange Recordings]","DEVID DEGA","741","2","0","0","2017-04-01"
"Devid Dega b2b Mosher at Avalon Club_Playa Del Carmen MEX 18-03-23(free download)","DEVID DEGA","727","646","13","2","2023-03-23"
"Heerhorst, Slin Bourgh - Exercise1 (Devid Dega Rmx) (preview) [Oscuro Music]","DEVID DEGA","726","12","0","0","2019-10-31"
"DEVID DEGA, FULVIO FERRETTA - FUCKING BEEPS (preview) [Renesanz]","DEVID DEGA","721","5","0","0","2018-06-25"
"Fellar - Speak Louder (Devid Dega Rmx) (preview) [Jesus Love Records]","DEVID DEGA","701","4","0","0","2017-12-12"
"SINCRONISM - TOGETHER (DEVID DEGA Rmx)  (preview)  [Frequenza Records]","DEVID DEGA","699","3","0","0","2016-09-16"
"Devid Dega @ Revò By FriendlyFire (UD) (21 - 12 - 2018)","DEVID DEGA","687","8","2","0","2018-12-24"
"Best Of DEVID DEGA Tracks Released 2017","DEVID DEGA","683","5","0","0","2017-12-21"
"DEVID DEGA - Podcast February 2017 FreeDownload","DEVID DEGA","682","11","0","0","2017-02-02"
"LUTZENKIRCHEN - BOUDICCA (DEVID DEGA Rmx)  (preview) [Black Square Recordings]","DEVID DEGA","671","13","2","0","2017-04-18"
"Devid Dega - Black Cube (Drumcomplex Rmx) (preview) [Substeal]","DEVID DEGA","665","3","0","0","2018-01-10"
"Devid Dega @ Artnote at CRKVA Rijeka (Cro) 17-12-2022 (FREEDOwNLOAD)","DEVID DEGA","647","448","6","2","2022-12-20"
"Devid Dega - The Dark Knight (Marcal Remix) (preview) [Oscuro Music]","DEVID DEGA","646","22","7","0","2020-06-12"
"Devid Dega - Loco Club (Pd) 13-1-2024 (FREE-DOWNLOAD)","DEVID DEGA","640","254","175","40","2024-01-15"
"Devid Dega, Matteo Puntar - Tiembla (preview) [Unity]","DEVID DEGA","631","6","0","0","2017-11-20"
"DEVID DEGA - ONE YEAR (preview)  [Orange Recordings]","DEVID DEGA","615","4","0","0","2017-03-31"
"Devid Dega - Baby Blonde (preview) [InDeep'n'Dance Records]","DEVID DEGA","593","14","1","0","2020-03-25"
"DEVID DEGA, LUCA GAETA - EMPHASIS (preview)  [Unity Records]","DEVID DEGA","583","1","0","0","2016-11-18"
"DEVID DEGA - ACID  (preview) [out soon on Consumed]","DEVID DEGA","582","1","0","0","2015-06-23"
"DEVID DEGA - ETERNITY (preview)  [Reload Black]","DEVID DEGA","580","1","0","0","2016-11-05"
"KOSTAS  MASKALIDES -THE CHANT (DEVID DEGA Rmx)  (preview) [Funk 'n Deep]","DEVID DEGA","573","4","0","0","2017-01-19"
