"Channel","Total","Percentage"
"Instagram followers","8352","60.49"
"Spotify followers","2376","17.21"
"Soundcloud followers","1847","13.38"
"Facebook followers","1167","8.45"
"Deezer fans","65","0.47"
"Total Fanbase Size","13807",""
