"Channel","Total","Percentage"
"Spotify followers","22414310","22.45"
"YouTube subscribers","19200000","19.23"
"Facebook followers","14705245","14.73"
"Deezer fans","11832065","11.85"
"[object Object] followers","11749118","11.77"
"Instagram followers","11322278","11.34"
"Soundcloud followers","7203151","7.22"
"TikTok followers","1400000","1.4"
"Total Fanbase Size","99826167",""
