"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande","138005227","6973584","369186","97815","2017-03-31"
"I'm Not Alone - 2019 Edit","Calvin Harris","32632295","5829080","358265","90590","2019-04-05"
"One Kiss (with Dua Lipa) - Oliver Heldens Remix","Calvin Harris, Dua Lipa, Oliver Heldens","80655092","4419524","322539","77136","2018-07-13"
"New Money (feat. 21 Savage)","Calvin Harris, 21 Savage","25471543","6096471","297325","73698","2022-07-01"
"Live Without Your Love (with Steve Lacy)","Love Regenerator, Steve Lacy, Calvin Harris","39970039","3885377","297534","73555","2020-07-16"
"Giant - Robin Schulz Remix","Calvin Harris, Rag'n'Bone Man, Robin Schulz","48044614","1443228","227780","63069","2019-01-01"
"How Deep Is Your Love - Chris Lake Remix","Calvin Harris, Disciples, Chris Lake","69492207","3591264","295488","60027","2015-08-07"
"One Kiss (with Dua Lipa) - R3HAB Remix","Calvin Harris, Dua Lipa, R3hab","42353286","3905357","244031","59544","2018-07-13"
"You Used to Hold Me","Calvin Harris","46096060","3868101","230738","59245","2009-08-17"
"Body Moving - Riordan Remix","Eliza Rose, Calvin Harris, Riordan","1316937","1030095","283330","58683","2024-01-05"
"Promises (with Sam Smith) - David Guetta Remix","Calvin Harris, Sam Smith, David Guetta","53532844","4531446","234702","55931","2018-10-19"
"Prayers Up (feat. Travis Scott & A-Trak)","Calvin Harris, Travis Scott, A-Trak","56185756","3398069","255981","55163","2017-06-30"
"Ready for the Weekend","Calvin Harris","31026666","2804531","188147","46639","2009-08-06"
"Desire (with Sam Smith) - MEDUZA Remix","Calvin Harris, Sam Smith, Meduza","2203274","1935963","181021","45490","2023-09-29"
"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)","Calvin Harris, ScHoolboy Q, PARTYNEXTDOOR, SHELLEY","53205709","2941051","206546","44816","2017-06-30"
"The Girls","Calvin Harris","23529085","2135365","147841","37081","2007-05-07"
"Hard to Love (feat. Jessie Reyez)","Calvin Harris, Jessie Reyez","41952571","2275818","143320","36833","2017-06-30"
"I Found You / Nilda’s Story (with Calvin Harris & Miguel)","Benny Blanco, Calvin Harris, Miguel","36389563","2161723","144680","35757","2019-01-04"
"Faith","Calvin Harris","46062699","2463338","130656","33517","2014-10-31"
"Body Moving - Extended","Eliza Rose, Calvin Harris","816368","742529","138865","32860","2023-12-15"
"Desire - Calvin Harris VIP Mix","Calvin Harris, Sam Smith","2392245","189451","138889","31539","2023-12-01"
"Nothing More To Say (with 6LACK & Donae’o)","Calvin Harris, 6LACK, Donae'o","6491544","2215087","123854","31537","2022-08-05"
"We Can Come Together","Love Regenerator, Eli Brown, Calvin Harris","11218723","1723345","111399","31351","2021-08-13"
"Don't Quit (feat. Travis Scott & Jeremih)","DJ Khaled, Calvin Harris, Travis Scott, Jeremih","50557792","1753488","118803","29072","2017-06-20"
"Holiday (feat. Snoop Dogg, John Legend & Takeoff)","Calvin Harris, Snoop Dogg, John Legend, TakeOff","34204997","2048125","135905","28733","2017-06-30"
"Miracle (with Ellie Goulding) - Church Version","Calvin Harris, Ellie Goulding","4286991","4065046","118067","28130","2023-03-31"
"How Deep Is Your Love - Disciples & Unorthodox Remix","Calvin Harris, Disciples, Unorthodox","3656341","818911","135867","27456","2015-08-07"
"Alone (Calvin Harris Remix) (Feat. Stefflon Don)","Halsey, Stefflon Don, Calvin Harris","65374658","1510863","101015","25910","2018-04-20"
"Desire (with Sam Smith) - Hannah Laing Remix","Calvin Harris, Sam Smith, Hannah Laing","1598627","1325383","104456","25590","2023-09-15"
"Desire (with Sam Smith) - Don Diablo Remix","Calvin Harris, Sam Smith, Don Diablo","1248816","1062301","104400","25403","2023-10-06"
"Desire (with Sam Smith) - Sub Focus Remix","Calvin Harris, Sam Smith, Sub Focus","1309005","1079280","103193","24960","2023-10-20"
"Burnin","Calvin Harris, R3hab","35608295","1440356","96827","24783","2014-10-31"
"Miracle (with Ellie Goulding) - Wilkinson Remix","Calvin Harris, Ellie Goulding, Wilkinson","3111201","2800805","101530","24313","2023-05-05"
"C.U.B.A","Calvin Harris","20130374","1376961","90303","24076","2015-03-16"
"Promises (with Sam Smith) - Sonny Fodera Remix","Calvin Harris, Sam Smith, Sonny Fodera","13167589","1311607","89993","24012","2018-10-19"
"How Deep Is Your Love - Calvin Harris & R3hab Remix","Calvin Harris, Disciples, R3hab","15523794","1133332","114446","23235","2015-08-07"
"Woman Of The Year (with Stefflon Don, Chlöe & Coi Leray)","Calvin Harris, Stefflon Don, Chlöe, Coi Leray","6368703","1945536","93062","23055","2022-08-05"
"By Your Side (feat. Tom Grennan) - Oliver Heldens Remix","Calvin Harris, Tom Grennan, Oliver Heldens","20143701","2637227","88156","21823","2021-07-09"
"Hype","Dizzee Rascal, Calvin Harris","32701291","1158472","82422","21786","2016-06-24"
"Skrt On Me (feat. Nicki Minaj)","Calvin Harris, Nicki Minaj","33570246","1389448","81230","21611","2017-06-30"
"Slow Acid","Calvin Harris","27158598","1281427","82421","21182","2014-10-15"
"Blame (feat. John Newman) - Jacob Plant Remix","Calvin Harris, John Newman, Jacob Plant","11713176","1158783","81327","19866","2014-11-10"
"Checklist (with Calvin Harris) (feat. WizKid)","Normani, Calvin Harris, Wizkid","38483958","1030530","64945","19572","2018-10-21"
"Love Now (feat. All About She)","Calvin Harris, All About She","23423315","1156920","71546","19306","2014-10-31"
"Moving [edit]","Love Regenerator, Eli Brown, Calvin Harris","24747615","1806477","68591","18292","2020-04-03"
"Desire (with Sam Smith) - Acoustic","Calvin Harris, Sam Smith","812474","661411","77647","17852","2023-09-25"
"I'm Not Alone - 2009 Remaster","Calvin Harris","15529906","1067501","69918","17312","2019-04-05"
"Giant - Purple Disco Machine Remix","Calvin Harris, Rag'n'Bone Man, Purple Disco Machine","8719127","468316","67870","17211","2019-01-01"
"Together (feat. Gwen Stefani)","Gwen Stefani, Calvin Harris","23374845","1015172","67333","17129","2014-10-31"
"Body Moving - Skream Remix","Eliza Rose, Calvin Harris, Skream","1046897","922145","275742","17016","2024-01-12"
"Slow Down (with Calvin Harris)","Normani, Calvin Harris","16153441","908733","51222","16106","2018-10-21"
"Lean On Me (with Swae Lee)","Calvin Harris, Swae Lee","4344200","1188506","61993","15161","2022-08-05"
"Body Moving - Club Mix","Eliza Rose, Calvin Harris","776569","550816","64262","14463","2023-12-29"
"Eat, Sleep, Rave, Repeat (feat. Beardyman) - Calvin Harris Remix","Fatboy Slim, Beardyman, Calvin Harris","17886706","867145","56392","14390","2013-07-18"
"Eat Sleep Rave Repeat (feat. Beardyman) - Calvin Harris Remix","Fatboy Slim, Beardyman, Calvin Harris","17886706","883807","56392","14390","2014-10-07"
"This Is What You Came For (feat. Rihanna) - R3hab vs Henry Fong Remix","Calvin Harris, Rihanna, R3hab, Henry Fong","13446172","839832","73994","14076","2016-08-02"
"Desire (with Sam Smith) - Steve Aoki & Kaaze Remix","Calvin Harris, Sam Smith, Kaaze, Steve Aoki","1604558","1260594","54994","13917","2023-10-13"
"Sweet Nothing (feat. Florence Welch) - Diplo + Grandtheft Remix","Calvin Harris, Florence Welch, Diplo, Grandtheft","17868652","820222","56285","13662","2012-12-07"
"Feel So Close - Nero Remix","Calvin Harris","18928715","749380","54884","13652","2011-07-23"
