"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Off The Record","Tinchy Stryder, Calvin Harris, Burns","579054","39855","3213","800","2011-01-01"
"Thinking About You (feat. Ayah Marar) - Laidback Luke Remix","Calvin Harris, Ayah Marar, Laidback Luke","2952274","52240","3079","782","2013-08-02"
"Miracle (with Ellie Goulding) - Extended","Calvin Harris, Ellie Goulding","47953","45614","2824","767","2023-06-16"
"See The Light - Calvin Harris Remix","The Hours, Calvin Harris","669874","55474","3698","749","2015-08-09"
"Giant - Michael Calfan Remix","Calvin Harris, Rag'n'Bone Man, Michael Calfan","429278","18044","2519","668","2019-01-01"
"Promises (with Sam Smith) - Illyus & Barrientos Remix","Calvin Harris, Sam Smith, Illyus & Barrientos","547885","37770","2093","667","2018-10-19"
"Don't You Want Me","Love Regenerator, Eli Brown, Calvin Harris","770908","39901","2361","600","2020-04-03"
"Promises (with Sam Smith) - OFFAIAH Remix","Calvin Harris, Sam Smith, offaiah","748896","45027","2310","597","2018-10-19"
"We'll Be Coming Back (feat. Example) - R3hab EDC NYC Remix","Calvin Harris, Example, R3hab","1845445","35977","2359","595","2012-07-27"
"All of a Sudden","Love Regenerator, Solardo, Calvin Harris","920134","40961","2772","580","2021-09-17"
"Blame (feat. John Newman) - BURNS Remix","Calvin Harris, John Newman","2715429","41414","2257","560","2014-11-10"
"Desire - Wh0 Remix","Calvin Harris, Sam Smith, Wh0","48515","43079","2378","558","2023-10-27"
"Give Me Strength","Love Regenerator, Calvin Harris","410209","32891","2529","484","2020-03-13"
"Hype - Flosstradamus Remix","Dizzee Rascal, Calvin Harris, Flosstradamus","748637","30675","1833","476","2016-10-07"
"Regenerate Love [edit]","Love Regenerator, Calvin Harris","822014","33060","2081","461","2020-02-14"
"The Power of Love II","Love Regenerator, Calvin Harris","437097","26923","1970","454","2020-02-14"
"We'll Be Coming Back (feat. Example) - Michael Woods Remix","Calvin Harris, Example, Michael Woods","1748098","30270","1742","435","2012-07-27"
"Miracle (with Ellie Goulding) - Mau P Extended Remix","Calvin Harris, Ellie Goulding, Mau P","58137","56118","1802","432","2023-06-16"
"Miracle (with Ellie Goulding) - BURNS Sunset Mix","Calvin Harris, Ellie Goulding, Burns","46408","42996","1482","422","2023-06-16"
"Sweet Nothing (feat. Florence Welch) - Dirtyloud Remix","Calvin Harris, Florence Welch, Dirtyloud","1299751","29708","1929","414","2012-10-12"
"Regenerate Love","Love Regenerator, Calvin Harris","515704","24003","1753","407","2020-02-14"
"Peace Love Happiness","Love Regenerator, Calvin Harris","398776","26388","2037","386","2020-03-13"
"Miracle (with Ellie Goulding) - Tyson O'Brien x Jordan Brando Remix","Calvin Harris, Ellie Goulding, Tyson O’Brien, jordan brando","23922","21745","1489","381","2023-06-16"
"Miracle (with Ellie Goulding) - Breaks Mix","Calvin Harris, Ellie Goulding","28017","25981","1476","374","2023-06-16"
"Uptown - Calvin Harris Remix","Primal Scream, Calvin Harris","464779","20691","1549","364","2015-08-21"
"Thinking About You (feat. Ayah Marar) - Firebeatz remix","Calvin Harris, Ayah Marar, Firebeatz","1332054","25113","1565","356","2013-08-02"
"Miracle (with Ellie Goulding) - David Guetta Extended Remix","Calvin Harris, Ellie Goulding, David Guetta","21090","19842","1181","337","2023-06-16"
"Thinking About You (feat. Ayah Marar) - Manufactured Superstars Remix","Calvin Harris, Ayah Marar, Manufactured Superstars","867381","18426","1193","314","2013-08-02"
"Promises (with Sam Smith) - Franky Rizardo Remix","Calvin Harris, Sam Smith, Franky Rizardo","623844","28417","1147","309","2018-10-19"
"Thinking About You (feat. Ayah Marar) - Radio Edit","Calvin Harris, Ayah Marar","195234","16426","1258","308","2013-09-13"
"Miracle (with Ellie Goulding) - Wilkinson Extended Remix","Calvin Harris, Ellie Goulding, Wilkinson","16406","15226","986","253","2023-06-16"
"Bounce (feat. Kelis) - R3hab Remix","Calvin Harris, Kelis, R3hab","774054","275457","929","250","2011-06-12"
"We Found Love - Cahill Dub","Rihanna, Calvin Harris, Cahill","183636","18682","1016","248","2011-09-22"
"Miracle (with Ellie Goulding) - Dimitri Vegas & Like Mike vs. Bassjackers Extended Remix","Calvin Harris, Ellie Goulding, Dimitri Vegas & Like Mike, Bassjackers","18444","17010","867","241","2023-06-16"
"Miracle (with Ellie Goulding) - Nicky Romero Extended Remix","Calvin Harris, Ellie Goulding, Nicky Romero","17160","14326","948","238","2023-06-16"
"Sweet Nothing (feat. Florence Welch) - Burns Remix","Calvin Harris, Florence Welch, Burns","586793","13850","1107","224","2012-10-12"
"Promises - Calvin Harris Remix","Nero, Calvin Harris","452995","12773","831","218","2012-01-01"
"DNA - Calvin Harris Extended Remix","Empire Of The Sun, Calvin Harris","111064","11194","892","203","2013-01-01"
"Miracle (with Ellie Goulding) - ACRAZE Extended Remix","Calvin Harris, Ellie Goulding, Acraze","12009","9208","743","202","2023-06-16"
"Miracle (with Ellie Goulding) - Valentino Khan Extended Remix","Calvin Harris, Ellie Goulding, Valentino Khan","13590","10433","671","198","2023-06-16"
"Acceptable in the 80's - Glimmers Remix","Calvin Harris, Ray Mang, The Glimmers","69550","7217","742","193","2007-04-30"
"We'll Be Coming Back (feat. Example) - Jacob Plant Remix","Calvin Harris, Example, Jacob Plant","571544","12471","751","190","2012-07-27"
"Peace Love Happiness - Acid Reprise","Love Regenerator, Calvin Harris","320604","10957","796","165","2020-03-13"
"Ready for the Weekend - Fake Blood Remix","Calvin Harris, Fake Blood","400097","8444","501","160","2009-08-06"
"Bounce (feat. Kelis) - Sandro Silva Remix","Calvin Harris, Kelis, Sandro Silva","201567","7757","558","146","2011-06-12"
"Flashback - Goldie Remix","Calvin Harris, Goldie","169453","8900","530","144","2009-12-01"
"Serious - Calvin Harris Remix","Manufactured Superstars, Selina Albright, Calvin Harris","150646","12722","562","134","2011-08-08"
"Miracle (with Ellie Goulding) - Tyson O'Brien x Jordan Brando Extended Remix","Calvin Harris, Ellie Goulding, Tyson O’Brien, jordan brando","11118","8634","443","123","2023-06-16"
"Miracle (with Ellie Goulding) - Creeds Extended Remix","Calvin Harris, Ellie Goulding, Creeds","10634","8248","435","116","2023-06-16"
"Miracle (with Ellie Goulding) - MK Extended Remix","Calvin Harris, Ellie Goulding, MK","10886","8247","440","109","2023-06-16"
"Great DJ - Calvin Harris Remix","The Ting Tings, Calvin Harris","136228","4879","353","102","2008-01-21"
"Thinking About You (feat. Ayah Marar) - GTA Remix","Calvin Harris, Ayah Marar","456485","8786","552","95","2013-08-02"
"Bounce (feat. Kelis) - Michael Woods Remix","Calvin Harris, Kelis, Michael Woods","263857","775151","336","94","2011-06-12"
"I'm Not Alone - Hervé's See You At The Festival Remix","Calvin Harris, Hervé","240786","5326","289","90","2009-09-01"
"Rock Steady - Calvin Harris Remix","All Saints, Calvin Harris","102406","4155","298","88","2006-11-03"
"Ready For The Weekend - Dave Spoon Remix","Calvin Harris, Dave Spoon","116440","5768","338","86","2009-08-07"
"I'm Not Alone - Doorly Remix","Calvin Harris, Doorly","242784","4748","331","84","2009-08-28"
"Merrymaking at My Place - Kissy Sell Out Gets Busy","Calvin Harris, Kissy Sell Out","36534","1302","113","66","2007-08-17"
"Thinking About You (feat. Ayah Marar) - Jesse Rose Remix","Calvin Harris, Ayah Marar, Jesse Rose","242913","5057","295","66","2013-08-02"
"Dance Wiv Me - DJ Frizzo RMX","Dizzee Rascal, Calvin Harris, Frizzo","10548","1405","215","56","2008-01-01"
"The Girls - Micky Slim's Bomb Squad Mix","Calvin Harris, Funkagenda, Micky Slim","60892","3717","181","53","2007-06-01"
"Colours - Seamus Haji Big Love Remix","Calvin Harris, Seamus Haji","54690","3530","182","49","2007-11-02"
"Let's Make Love and Listen to Death from Above - Calvin Harris Remix","CSS (Cansei de Ser Sexy), Calvin Harris","60652","1534","143","35","2007-05-07"
"Good Days Bad Days - Calvin Harris Remix","Kaiser Chiefs, Calvin Harris","30147","1137","66","29","2008-01-01"
"Under Control (feat. Hurts) - Sunnery James and Ryan Marciano Mix","Calvin Harris, Alesso, Hurts, Sunnery James & Ryan Marciano","26361","1316","86","26","2014-11-12"
"Colours - Seamus Haji Big Love Dub","Calvin Harris, Seamus Haji","58428","1538","64","17","2007-11-02"
"Under Control (feat. Hurts)","Calvin Harris, Alesso, Hurts","14120","1768","83","16","2014-05-13"
"I'm Not Alone - Hervé's See You At The Dub Parade","Calvin Harris, Hervé","61372","952","44","14","2009-09-01"
"See The Light - Calvin Harris Instrumental Remix","The Hours, Calvin Harris","12507","865","55","13","2015-08-09"
"Summer","Feuerbach Quartett, Calvin Harris","1180","144","7","3","2015-05-21"
"We Walk - Calvin Harris Remix","The Ting Tings, Calvin Harris","52136","110","8","1","2009-04-10"
"Outside - DJ Toro Remix","DJ Toro, Calvin Harris","21606","0","0","0","2015-02-05"
