"Artist","Artist country","Artist genre","Viberate rank","Genre rank","Instagram","X","Soundcloud"
"Raja Kumari","United States","Hip Hop","7574","1407","not following","is following","not following"
"Tiffany","United States","Rock","7622","770","not following","is following","not following"
"David Garrett","United States","Classical","7630","65","not following","is following","not following"
"Wé Ani","United States","Pop","7743","2652","is following","not following","not following"
"Margaret","Poland","Pop","7749","2658","is following","not following","not following"
"Rennan da Penha","Brazil","Latin","7755","942","is following","is following","not following"
"Yuna","Malaysia","Pop","7762","2664","not following","is following","not following"
"KIKO RIVERA","Spain","Pop","7781","2670","not following","is following","not following"
"Oriana","Argentina","Pop","7796","2674","is following","is following","not following"
"Mako","United States","Electronic","7802","526","not following","is following","not following"
"Kelly Price","United States","R&B","7810","363","not following","is following","not following"
"Papatinho","Brazil","Hip Hop","7813","1453","is following","not following","not following"
"Ina Wroldsen","Norway","Pop","7818","2681","is following","not following","not following"
"Mohsen Yeganeh","Iran","Middle Eastern","7834","69","not following","is following","not following"
"Chris Lorenzo","United Kingdom","Electronic","7845","528","is following","not following","not following"
"Lexy Panterra","United States","Pop","7867","2696","not following","is following","not following"
"Funkmaster Flex","United States","Hip Hop","7912","1475","is following","not following","not following"
"Bhaskar","Brazil","Electronic","7913","533","is following","not following","not following"
"Aiyana-Lee","United States","Pop","7936","2718","is following","not following","not following"
"Superfruit","United States","Pop","7954","2726","not following","is following","not following"
"Maleek Berry","United Kingdom","R&B","7975","373","is following","is following","not following"
"El Chacal","Cuba","Latin","8020","967","is following","is following","not following"
"Chanel West Coast","United States","Hip Hop","8078","1511","is following","is following","not following"
"Moska","Colombia","Electronic","8123","549","is following","not following","not following"
"Bob Moses","Canada","Electronic","8149","552","is following","not following","not following"
"Dreezy","United States","Hip Hop","8174","1529","not following","both","not following"
"Boys Noize","Germany","Electronic","8180","554","both","both","not following"
"KREAM","Norway","Electronic","8186","555","is following","is following","is following"
"Two Friends","United States","Electronic","8220","556","is following","not following","not following"
"Netsky","Belgium","Electronic","8254","559","is following","is following","not following"
"Zomboy","United Kingdom","Electronic","8266","560","not following","is following","not following"
"Hibell","United Kingdom","Electronic","8267","561","is following","is following","is following"
"Stereoact","Germany","Electronic","8285","562","is following","not following","not following"
"Murda Beatz","Canada","Hip Hop","8312","1556","not following","both","not following"
"Liu","Brazil","Electronic","8315","564","is following","is following","not following"
"Synapson","France","Electronic","8335","565","is following","not following","not following"
"Elvin Grey (Элвин Грей)","Russian Federation","Pop","8385","2870","is following","not following","not following"
"Francis Mercier","United States","Electronic","8393","567","not following","is following","not following"
"Odd Mob","Australia","Electronic","8399","568","not following","not following","is following"
"Nero","United Kingdom","Electronic","8420","571","not following","both","not following"
"Fumaratto","Colombia","Electronic","8465","576","not following","not following","is following"
"Emelie Hollow","Norway","Pop","8468","2899","not following","is following","not following"
"Hayden James","Australia","Electronic","8472","577","is following","not following","not following"
"GASHI","United States","Hip Hop","8511","1593","is following","not following","not following"
"Stamp (แสตมป์)","Thailand","Pop","8528","2921","is following","not following","not following"
"Tyler Shaw","Canada","Pop","8660","2958","is following","not following","not following"
"Pixie Lott","United Kingdom","Pop","8679","2962","is following","not following","not following"
"Die Lochis","Germany","Pop","8681","2963","not following","is following","not following"
"Rebecca Black","United States","Pop","8690","2971","is following","not following","is following"
"Mike Candys","Switzerland","Electronic","8699","593","is following","is following","not following"
"Renato Russo","Brazil","Rock","8715","873","not following","is following","not following"
"Jacob Banks","United Kingdom","R&B","8721","400","not following","both","not following"
"Obie Trice","United States","Hip Hop","8780","1670","not following","is following","not following"
"DJ Bl3nd","United States","Electronic","8795","597","not following","not following","is following"
"BloodPop","United States","Electronic","8808","598","is following","both","not following"
"TroyBoi","United Kingdom","Electronic","8821","600","is following","is following","not following"
"Ran-D","Netherlands","Electronic","8872","608","is following","not following","not following"
"Jerrica Alyssa","United States","Pop","8894","3033","is following","not following","not following"
"PMX SoundZ","Germany","Electronic","8913","610","not following","is following","not following"
"Carson Lueders","United States","Pop","8931","3048","not following","is following","not following"
"Pasabordo","Colombia","Pop","8934","3049","is following","not following","not following"
"Panjabi MC","United Kingdom","Electronic","8935","612","not following","is following","not following"
"Tchami","France","Electronic","8954","613","is following","is following","not following"
"Kevin Lyttle","United States","Reggae","8966","106","not following","is following","not following"
"Michele Bravi","Italy","Pop","8996","3071","is following","is following","not following"
"DJs From Mars","Italy","Electronic","9005","617","is following","is following","is following"
"Chris Avantgarde","United Kingdom","Electronic","9007","618","is following","is following","not following"
"Nick Carter","United States","Pop","9038","3088","not following","is following","not following"
"Otto Knows","Sweden","Electronic","9093","628","is following","is following","not following"
"Deepend","Netherlands","Electronic","9097","630","is following","is following","not following"
"Yves V","Belgium","Electronic","9102","631","is following","is following","not following"
