"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"For a Feeling (feat. RHODES) - Extended Mix","CamelPhat, ARTBAT, RHODES","2753630","400662","25844","6883","2020-05-01"
"Cola - Elderbrook Chilled Mix","CamelPhat, Elderbrook","5277540","605266","26888","6583","2017-11-10"
"Days Go By - CamelPhat Remix","Dirty Vegas, CamelPhat","3902865","339979","24339","6375","2019-07-12"
"Keep Movin' (feat. Max Milner)","CamelPhat, Skream, Max Milner","1796658","364291","30429","6131","2020-10-30"
"Breathe - Cristoph Remix","CamelPhat, Cristoph, Jem Cooke","5258672","395837","29853","5992","2019-08-30"
"Sun Comes Up - Radio Edit","CamelPhat, Jaxxon","3763447","419228","21680","5671","2014-10-21"
"Freak","CamelPhat, Cari Golden","5346535","347826","27110","5516","2020-03-26"
"April","Yousef, CamelPhat","1526030","293254","18488","5453","2021-07-30"
"Magic Me - CamelPhat Remix","ELDON, CamelPhat","886646","377191","19041","5259","2022-10-07"
"Colossus","CamelPhat, Kölsch","220161","4779","4779","4779","2023-09-14"
"Breathe - Eric Prydz Remix","CamelPhat, Cristoph, Jem Cooke, Eric Prydz","5339141","307908","23145","4677","2019-04-26"
"Float Away - CamelPhat Remix","Yousef, CamelPhat","1650994","317688","16570","4492","2021-07-16"
"Rain","CamelPhat, Desire","203703","7760","7760","4198","2023-09-13"
"Temperament of the Beat","CamelPhat, Cari Golden","1808860","275059","15505","4072","2021-08-26"
"For a Feeling (feat. RHODES) - Dark Matter Edit","CamelPhat, ARTBAT, RHODES","1529206","270566","20492","4042","2020-10-30"
"Right Here Right Now (CamelPhat Remix)","Fatboy Slim, CamelPhat","2281665","207925","16285","3887","2018-01-01"
"I Talk To Water (With Perry Farrell) - CamelPhat Extended Remix","Kölsch, CamelPhat, Perry Farrell","52374","39579","39579","3872","2024-01-26"
"Bloom","CamelPhat","162791","6814","6814","3868","2023-09-13"
"Crystal Clear","CamelPhat, Riva Starr, Ursula Rucker","4578903","325375","20725","3790","2019-07-26"
"Primavera (Re-Edit)","CamelPhat, PPJ","176419","6636","6636","3622","2023-09-13"
"Not Over Yet (feat. Noel Gallagher)","CamelPhat, Noel Gallagher","2767499","241214","18178","3620","2020-10-30"
"Blackbirds (feat. Leo Stannard)","CamelPhat, Leo Stannard","1741635","242148","17719","3471","2020-10-30"
"Waiting - Eli & Fur’s Found Version","CamelPhat, Eli & Fur","977559","288477","14108","3441","2021-06-25"
"Reaction (feat. Maverick Sabre)","CamelPhat, DEL-30, Maverick Sabre","1403555","208102","16704","3423","2020-10-30"
"The Future","CamelPhat, Rebūke","2725960","277369","12609","3154","2021-09-24"
"Easier (feat. LOWES) - MK Remix","CamelPhat, Lowes, MK","3866815","221733","12056","3024","2020-12-11"
"Kona","Alan Fitzpatrick, CamelPhat","4874058","44287","11503","2927","2019-04-19"
"What A Day","CamelPhat, Eynka, Delilah Montagu","132697","5127","5127","2850","2023-09-13"
"Best of Me - CamelPhat Remix","ARTBAT, Sailor & I, CamelPhat","1262719","192793","11191","2788","2021-03-05"
"Warning Signs - CamelPhat Remix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","1809546","262249","11600","2729","2021-07-02"
"Moments - Camelphat Remix","Kidnap, Leo Stannard, CamelPhat","1096673","176863","10969","2727","2016-03-29"
"Inbetween the Lines","CamelPhat","995087","111708","10889","2548","2020-10-30"
"Waiting - Eli & Fur's Found Version (Live)","Eli & Fur, CamelPhat","220591","125413","9044","2391","2021-10-18"
