"Channel","Total","Percentage"
"Instagram followers","431287","27.86"
"Spotify followers","408569","26.4"
"Facebook followers","222483","14.37"
"YouTube subscribers","165000","10.66"
"Soundcloud followers","152354","9.84"
"[object Object] followers","90366","5.84"
"Deezer fans","63625","4.11"
"TikTok followers","14100","0.91"
"Total Fanbase Size","1547784",""
