"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2023-05-21","348667","5087211","4309858","14.59","0.85"
"2023-05-28","349839","5146694","4353426","14.71","0.85"
"2023-06-04","351056","5199311","4289964","14.81","0.83"
"2023-06-11","352326","5224673","4252633","14.83","0.81"
"2023-06-18","353737","5287644","4337174","14.95","0.82"
"2023-06-25","355229","5305696","4214404","14.94","0.79"
"2023-07-02","356659","5305971","4081240","14.88","0.77"
"2023-07-09","357971","5345783","4119965","14.93","0.77"
"2023-07-16","359249","5336686","4048705","14.86","0.76"
"2023-07-23","360860","5468049","4222160","15.15","0.77"
"2023-07-30","362603","5713931","4970748","15.76","0.87"
"2023-08-06","364050","5848763","4810270","16.07","0.82"
"2023-08-13","365647","6008252","4895725","16.43","0.81"
"2023-08-20","367135","6099199","4851438","16.61","0.80"
"2023-08-27","368642","6142672","5016279","16.66","0.82"
"2023-09-03","370125","6203939","5001195","16.76","0.81"
"2023-09-10","371616","6198625","4892200","16.68","0.79"
"2023-09-17","374087","6294345","5457573","16.83","0.87"
"2023-09-24","376379","6372358","4092465","16.93","0.64"
"2023-10-01","377884","6300277","4413810","16.67","0.70"
"2023-10-08","379453","6250446","4413302","16.47","0.71"
"2023-10-15","381126","6098434","4335375","16.00","0.71"
"2023-10-22","382200","5896637","4220372","15.43","0.72"
"2023-10-29","383461","5813259","4204267","15.16","0.72"
"2023-11-05","384699","5715995","4048003","14.86","0.71"
"2023-11-12","385809","5669079","4146762","14.69","0.73"
"2023-11-19","387014","5660934","2878933","14.63","0.51"
"2023-11-26","388372","5607209","5327969","14.44","0.95"
"2023-12-03","390210","5615174","4315754","14.39","0.77"
"2023-12-10","391616","5628205","3199242","14.37","0.57"
"2023-12-17","392911","5616283","1785452","14.29","0.32"
"2023-12-24","393863","5593643","5348566","14.20","0.96"
"2023-12-31","395082","5527030","2250278","13.99","0.41"
"2024-01-07","396451","5589037","4601474","14.10","0.82"
"2024-01-14","398204","5712813","4949773","14.35","0.87"
"2024-01-21","399730","5833217","6049717","14.59","1.04"
"2024-01-28","401018","5992299","4028187","14.94","0.67"
"2024-02-04","402751","6028974","4396660","14.97","0.73"
"2024-02-11","404113","6054252","4737681","14.98","0.78"
"2024-02-18","405542","6013712","4473364","14.83","0.74"
"2024-02-25","407554","6058903","4581028","14.87","0.76"
