"Artist","Artist country","Artist genre","Viberate rank","Subgenre rank","Number of mentions","Last mention date","Last mention time"
"Simina Grigoriu","Germany","Electronic","59147","498","1","2024-01-05","04:44:05"
"Giza DJs","Italy","Electronic","133935","6687","3","2023-12-15","11:16:13"
"Ozzy Sahin","United Kingdom","Electronic","356551","10252","1","2024-01-10","15:03:14"
"Serioes & Legendaer","Germany","Electronic","384226","7710","1","2024-01-03","16:08:27"
