"Channel","Total","Percentage"
"Spotify followers","250924","28.04"
"YouTube subscribers","176000","19.67"
"Instagram followers","161614","18.06"
"Facebook followers","143759","16.06"
"Soundcloud followers","135626","15.16"
"Deezer fans","24604","2.75"
"[object Object] followers","2361","0.26"
"Total Fanbase Size","894888",""
