"Channel","Total","Percentage"
"Spotify followers","411463","21.33"
"Instagram followers","401759","20.83"
"YouTube subscribers","392000","20.32"
"Soundcloud followers","269473","13.97"
"Facebook followers","241004","12.49"
"Deezer fans","184883","9.58"
"[object Object] followers","28564","1.48"
"Total Fanbase Size","1929146",""
