"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Shades Of Grey - Nora En Pure Remix","Oliver Heldens, Shaun Frank, Delaney Jane, Nora En Pure","6360861","256867","14964","3824","2015-10-22"
"Diving with Whales","Nora En Pure","3944052","293188","15116","3766","2016-12-12"
"Tell My Heart","Nora En Pure, Dani Senior","5706945","237031","15281","3730","2016-10-21"
"Tell My Heart","Nora En Pure, Dani Senior","5706945","237031","15847","3730","2016-10-21"
"Us","Nora En Pure","1460214","336731","16950","3601","2022-04-22"
"Homebound","Nora En Pure","4070339","337746","13835","3553","2019-10-25"
"In The Air Tonight","Nora En Pure, Lika Morgan","2835532","196315","14210","3308","2020-03-27"
"Don't Look Back","Nora En Pure","5986878","277576","11890","3178","2018-06-29"
"Satisfy - Mart Radio Edit","Nora En Pure","5607173","249404","12708","3118","2014-12-29"
"Saltwater - 2015 Rework","Nora En Pure","2864282","201232","13129","3019","2015-07-20"
"Saltwater (2015 Rework) - Original Mix","Nora En Pure","2864282","197225","12705","3019","2015-10-09"
"Emerald Skies - Good Intention Remix","Nora En Pure","150408","20073","14733","3010","2023-12-15"
"Come With Me - Satin Jackets Remix","Nora En Pure","4898412","171327","11565","2906","2012-01-01"
"Come With Me - Satin Jackets Remix","Nora En Pure","4898412","171327","11204","2906","2013-09-30"
"Come With Me - Satin Jackets Remix","Nora En Pure, Satin Jackets","4898412","171327","11204","2906","2014-02-04"
"Morning Dew","Nora En Pure","6854478","197464","11523","2906","2015-01-01"
"Morning Dew - Original Mix","Nora En Pure","6854478","197464","11523","2906","2016-02-19"
"Trailblazer","Nora En Pure","5778184","179069","10612","2695","2017-12-01"
"Lake Arrowhead","Nora En Pure","3164007","154355","10086","2597","2016-04-05"
"Lake Arrowhead - Original Mix","Nora En Pure","3164007","151274","10418","2597","2016-05-27"
"One Thing - Nora En Pure Radio Mix","Me & My Toothbrush, Nora En Pure","4388612","142454","10518","2566","2015-01-01"
"Sweet Melody - Original Mix","Nora En Pure","5816357","157224","9729","2485","2013-08-13"
"Come with Me - Slowed + Reverb","Nora En Pure","302410","249604","9464","2461","2023-08-11"
"Hope - Nora en Pure Remix","Sir Felix, Nora En Pure","5486018","66572","12663","2458","2014-07-04"
"Convincing","Nora En Pure","4177776","268614","9820","2449","2016-08-08"
"Us - Nora en Pure Club Edit","Nora En Pure","554554","183212","9880","2392","2022-06-03"
"Sphinx - Alternative Mix","Nora En Pure","4130556","133975","9231","2345","2018-02-09"
"Bartok","Nora En Pure","1556559","140895","9447","2288","2020-07-17"
"Life on Hold - Extended Mix","Nora En Pure","554941","154915","9676","2288","2021-09-03"
"One Night Lover - Nora En Pure Radio Mix","Paul Harris, Dragonette, Nora En Pure","11535304","168970","8808","2245","2015-11-09"
"You Are My Pride - Radio Mix","Nora En Pure","5551128","169400","8761","2205","2014-02-14"
"Sherwood Forest - Club Mix","Nora En Pure","128861","120703","8711","2183","2023-06-30"
"Enchantment - Extended Mix","Nora En Pure","601935","144252","11081","2171","2020-12-04"
"Prophets of Hope","Nora En Pure","243219","228973","9108","2138","2023-05-19"
