"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Veerus & Maxie Devine - Yellow [Material]","Veerus & Maxie Devine, Veerus","6792","0","0","0","2015-12-09"
"Veerus & Maxie Devine | Uncle Dog [Toolroom Trax]","Veerus & Maxie Devine, Veerus","6420","0","0","0","2015-12-21"
"Veerus & Maxie Devine - Yellow [Material]","Veerus & Maxie Devine, Veerus","6380","0","0","0","2015-12-09"
"Veerus & Maxie Devine - My Music [Material]","Veerus & Maxie Devine, Veerus","6325","0","0","0","2015-12-09"
"Veerus & Maxie Devine - Refurb (Vinyl Only) [Material]","Veerus & Maxie Devine, Veerus","6173","0","0","0","2015-10-23"
"OUT NOW | Veerus - Hold On [Le Club Records]","Veerus & Maxie Devine, Veerus","6118","0","0","0","2018-07-16"
"Veerus & Maxie Devine | Uncle Dog [Toolroom Trax]","Veerus & Maxie Devine, Veerus","5908","0","0","0","2015-12-21"
"Veerus & Maxie Devine - My Music [Material]","Veerus & Maxie Devine, Veerus","5799","0","0","0","2015-12-09"
"Veerus & Maxie Devine - Serendipity [Le Club #100]","Veerus & Maxie Devine, Veerus","5651","0","0","0","2016-09-12"
"FREE TRACK | Veerus & Maxie Devine - Lemonade (Le Club Records #100 Celebration)","Veerus & Maxie Devine, Veerus","5027","0","0","0","2016-09-02"
"Le Club Culture - Episode 177 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","4915","0","0","0","2014-12-22"
"Le Club Culture - Episode 177 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","4890","0","0","0","2014-12-22"
"Veerus & Maxie Devine - Serendipity [Le Club #100]","Veerus & Maxie Devine, Veerus","4720","0","0","0","2016-09-12"
"Infinity (Original Mix)","Veerus","4107","2574","314","85","2023-05-26"
"FREE TRACK | Veerus & Maxie Devine - Lemonade (Le Club Records #100 Celebration)","Veerus & Maxie Devine, Veerus","3974","0","0","0","2016-09-02"
"PREMIERE | VEERUS - Mind Awake, Body Asleep [Senso Sounds]","Veerus & Maxie Devine, Veerus","3711","0","0","0","2017-06-29"
"Veerus at Watergate | Drumcode Berlin | 08.12.2023","Veerus","3665","2785","2785","1690","2024-02-07"
"Le Club Culture - Episode 168 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3520","0","0","0","2014-08-17"
"Le Club Culture - Episode 180 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3472","0","0","0","2015-02-01"
"Phoney","Veerus","3384","1760","312","103","2023-09-28"
"Le Club Culture - Episode 201 (Veerus & Maxie Devine) | Digitally Imported Radio","Veerus & Maxie Devine, Veerus","3236","0","0","0","2015-11-22"
"Le Club Culture - Episode 173 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3222","0","0","0","2014-10-27"
"Le Club Culture - Episode 167 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3093","0","0","0","2014-08-04"
"Le Club Culture - Episode 176 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3066","0","0","0","2014-12-08"
"Le Club Culture - Episode 169 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3060","0","0","0","2014-09-01"
"Le Club Culture - Episode 184 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3059","0","0","0","2015-03-30"
"Le Club Culture - Episode 193 (Veerus & Maxie Devine)","Veerus & Maxie Devine, Veerus","3041","0","0","0","2015-08-03"
