"Channel","Total","Percentage"
"Soundcloud followers","26487","31.77"
"Instagram followers","24049","28.85"
"Facebook followers","19273","23.12"
"Spotify followers","8840","10.6"
"[object Object] followers","4323","5.19"
"TikTok followers","305","0.37"
"Deezer fans","90","0.11"
"Total Fanbase Size","83367",""
